Album,Artist,Artwork Count,Bit Rate,Date Added,Date Modified,File Folder Count,Genre,Has Video,Kind,Library Folder Count,Location,Movie,Name,Persistent ID,Play Count,Play Date,Play Date UTC,Podcast,Purchased,Release Date,Sample Rate,Size,Total Time,Track ID,Track Number,Track Type,Unplayed,Year
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/TQ_S1L3_072213_ppod101.mp3,,Top 25 Questions #3 - Where do you live? in Polish,0325432B1E33574C,1,3574513633,2017-04-08T14:27:13Z,,,2014-11-06T09:30:03Z,44100,8365264,346000,2830,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/BB_S1L2_042312_ppod101.mp3,,Basic Bootcamp #2 - Basic Polish Sentence Structure,687256D5665246C0,1,3574513633,2017-04-08T14:27:13Z,,,2014-11-07T09:28:00Z,44100,13981381,580000,2832,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/BB_S1L3_043012_ppod101.mp3,,Basic Bootcamp #3 - Useful Phrases for Learning Polish,1F8A210A30BF20E4,1,3574513633,2017-04-08T14:27:13Z,,,2014-11-07T09:30:00Z,44100,15881006,660000,2834,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/VCCPH_L1_071213_ppod101_video.m4v,,Video - Polish Holidays #1 - New Year's Day,B44DAC5433C433D9,1,3574513633,2017-04-08T14:27:13Z,,,2014-11-08T09:23:59Z,44100,33678330,215000,2836,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/VCCPH_L2_072613_ppod101_video.m4v,,Video - Polish Holidays #2 - St. Nicholas Day,18CCA37FC955741D,1,3574513633,2017-04-08T14:27:13Z,,,2014-11-08T09:27:59Z,44100,31592126,202000,2838,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/VCCPH_L3_080913_ppod101_video.m4v,,Video - Polish Holidays #3 - Christmas Eve,A44799B20E740AFF,1,3574513633,2017-04-08T14:27:13Z,,,2014-11-08T09:29:59Z,44100,34027660,217000,2840,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/VCCPH_L24_060614_ppod101_video.m4v,,Video - Polish Holidays #24 - Crazy Slide,88805FC2E34D8A46,1,3574513633,2017-04-08T14:27:13Z,,,2014-11-08T09:39:59Z,44100,32398466,206000,2842,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/PLCFAB_L1_010714_ppod101_video.m4v,,Video - Polish Listening for Beginners #1 - At a Bookstore,D48CB97DCDA8FED7,1,3574513633,2017-04-08T14:27:13Z,,,2014-11-09T09:30:00Z,44100,13378468,111000,2844,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/LPITM_L1_060112_ppod101_video.m4v,,Video - Polish in 3 Minutes #1 - Self-Introduction,9012329B720522DE,1,3574513633,2017-04-08T14:27:13Z,,,2014-11-10T09:25:59Z,44100,25319112,266000,2846,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/LPITM_L2_072014_ppod101_video.m4v,,Video - Polish in 3 Minutes #2 - Polish Manners,AF5DFBE8B6EAC746,1,3574513633,2017-04-08T14:27:13Z,,,2014-11-10T09:27:59Z,44100,26032716,234000,2848,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://media.libsyn.com/media/polishpod101/LPITM_L3_080312_ppod101_video.m4v,,Video - Polish in 3 Minutes #3 - Greetings,22EBAD337B0143C7,1,3574513633,2017-04-08T14:27:13Z,,,2014-11-10T09:29:59Z,44100,21252746,196000,2850,2,URL,,2013
Learn Polish | PolishPod101.com,PolishPod101.com,1,192,2017-08-06T06:57:03Z,2017-08-05T19:59:28Z,4,Podcast,,MPEG audio file,1,https://traffic.libsyn.com/polishpod101/promo_201504_Polish.mp4,,6 Free Features You Never Knew Existed at PolishPod101,6650F617043387D2,1,3574513633,2017-04-08T14:27:13Z,,,2015-04-15T09:37:00Z,44100,21134878,126000,2852,2,URL,,2013
